# slope intercept sigma lnLike
2.886773048478668890e+00 4.144487073505165320e+00 1.994202749913931705e-01 -3.610147232610280099e+01
2.675917270071121568e+00 4.507977030935591323e+00 2.112109809597646493e-01 -3.554042044003016088e+01
2.786447468694971175e+00 4.282400580628674902e+00 1.938372173099335294e-01 -3.493604075924167063e+01
2.874612492046395129e+00 4.109841145235263227e+00 2.086756872694632836e-01 -3.591886949560363007e+01
2.740772913002627043e+00 4.418317768068592777e+00 1.775326987633328302e-01 -3.473974145941465963e+01
2.807791592797841851e+00 4.283609352665009418e+00 2.086403837665304073e-01 -3.470291091415705864e+01
2.762346681802335002e+00 4.352232295953877284e+00 2.084915163482045641e-01 -3.447216234267476409e+01
2.786070791977242944e+00 4.284310053401825691e+00 1.935012625418838228e-01 -3.488337983858782110e+01
2.641791598597398760e+00 4.667705662598376826e+00 2.244960214829495870e-01 -3.930271707199507603e+01
2.778966407532170724e+00 4.282720519682031934e+00 1.542596991836470144e-01 -3.756001122525348990e+01
2.879359344318649594e+00 4.133286926790509241e+00 2.293422482666511164e-01 -3.636796192244703718e+01
2.719231552077837399e+00 4.508132993380806752e+00 1.936038121107662435e-01 -3.743163419073570708e+01
2.831378540898812801e+00 4.273394973502144367e+00 1.992007998812283798e-01 -3.639205746486784676e+01
2.849690636503042551e+00 4.230053162934128252e+00 1.756397685735998637e-01 -3.642023122846250516e+01
2.710799083482275496e+00 4.478386124846628569e+00 1.979398243183442818e-01 -3.473429478233261136e+01
2.656327467684671095e+00 4.641548168476376190e+00 1.960572249489194174e-01 -3.928554230793825752e+01
2.783542019977322202e+00 4.308199021581271992e+00 1.743267866868178362e-01 -3.462893493710898696e+01
2.640646576058811146e+00 4.644180810097579659e+00 1.764112922992846222e-01 -3.787638058154396248e+01
2.745013186329930743e+00 4.362980821373761309e+00 2.362219329687029190e-01 -3.629967800198758709e+01
2.821286969117779986e+00 4.246044577159491240e+00 2.084135171920456220e-01 -3.468147342898932806e+01
2.975870908283276162e+00 3.876098601405069566e+00 2.263775701965167753e-01 -4.076377769007501684e+01
2.733829340805449704e+00 4.413261205323234293e+00 1.712005633951594608e-01 -3.487353878279780162e+01
2.817916078126631696e+00 4.280718676582978333e+00 2.463002373749766383e-01 -3.726331953388121576e+01
2.671064464155835871e+00 4.558208090342121821e+00 1.776168992050239370e-01 -3.577180424611101728e+01
2.815734687459709562e+00 4.259165998089429195e+00 1.848799731387159861e-01 -3.444552659762373281e+01
2.871800968006103627e+00 4.124859465089523169e+00 1.716073760850762020e-01 -3.576062835207382307e+01
2.849266145769127956e+00 4.166987231052743823e+00 2.422195442623851502e-01 -3.696457240789900567e+01
2.830382748941694615e+00 4.183249406229971434e+00 2.000986838446634219e-01 -3.588350181042201825e+01
2.859788991978635675e+00 4.205502339220799080e+00 2.036002728726789557e-01 -3.606761269975395123e+01
2.705135049477062736e+00 4.442631448798432636e+00 1.806733565732345226e-01 -3.563860673137801172e+01
2.886114555466421816e+00 4.100165640005642764e+00 2.033302448444438970e-01 -3.562458102665787152e+01
2.732741632865897774e+00 4.456147385009611384e+00 2.076463250584648923e-01 -3.548826565046036308e+01
2.674946293130298969e+00 4.546745591870921643e+00 1.797391490620839916e-01 -3.551327438570179851e+01
2.801946760580683815e+00 4.219996002685955538e+00 2.053224049069191370e-01 -3.717360567708922048e+01
2.795014704811173978e+00 4.325729485909127980e+00 1.913470387549124352e-01 -3.494978902950234811e+01
2.801535198802442395e+00 4.281085134186185748e+00 2.646465322727901137e-01 -3.813856064991854566e+01
2.676812823744511682e+00 4.547934852819508045e+00 2.441984615120197655e-01 -3.685205594785602301e+01
2.754506798057104078e+00 4.412184759533677614e+00 2.114328580695183368e-01 -3.544692102062627015e+01
2.663477112550032722e+00 4.517959196061188010e+00 2.032914488685586551e-01 -3.632388014511533214e+01
2.895682796734729614e+00 4.102112093087803224e+00 2.046062127419595311e-01 -3.571491722146649295e+01
2.722332252914730244e+00 4.439938903895479072e+00 1.749328716314260401e-01 -3.481811614932772159e+01
2.822159449010072318e+00 4.246904196457265357e+00 1.590034180769076544e-01 -3.546687498944492489e+01
2.713522422861615713e+00 4.486673456432209051e+00 2.088786720646120254e-01 -3.529039968279111861e+01
2.811387054742124469e+00 4.280456847152609434e+00 1.741228001108086343e-01 -3.487187255581124390e+01
2.823032497375668637e+00 4.249292251784003049e+00 1.870935760321006391e-01 -3.453024481183343397e+01
2.741203973606890720e+00 4.421557756304242304e+00 2.981715238073018859e-01 -4.176039704657246432e+01
2.588882306428482938e+00 4.695321171293264761e+00 2.374433768961221602e-01 -3.784377903221736972e+01
2.772568014366415312e+00 4.338856720721324223e+00 2.048011438163211406e-01 -3.434536373373896367e+01
2.819280384848256826e+00 4.280777249865988843e+00 1.783273649255042170e-01 -3.544205547663555222e+01
2.815488364115007247e+00 4.242444986680268926e+00 2.293609431028543755e-01 -3.561459782543171571e+01
2.694880596825711461e+00 4.454994986494791753e+00 1.758595551292392867e-01 -3.646053978457295131e+01
2.768901098284128004e+00 4.333918057780874022e+00 2.166721212012361897e-01 -3.480817245344046285e+01
2.787551594511668007e+00 4.279599833985016311e+00 2.067390346065286488e-01 -3.508947369612615574e+01
2.761556311111638351e+00 4.383717329895747028e+00 1.815727037754691353e-01 -3.472031103446555278e+01
2.646175603689860711e+00 4.600772141925982162e+00 2.448282376495343748e-01 -3.714703413431485757e+01
2.655623441024455023e+00 4.582828973209188916e+00 2.325885906785616353e-01 -3.631360888263532161e+01
2.732625923422623782e+00 4.410621111006330253e+00 1.879781367548644666e-01 -3.445275133271405110e+01
2.796380911380398349e+00 4.323476494465682052e+00 2.076723445839264715e-01 -3.514654946723577922e+01
2.822052993533961551e+00 4.213465744814282488e+00 1.482829819113932190e-01 -3.710037160355729213e+01
2.758739771043042133e+00 4.358196137144001447e+00 2.304072614321434620e-01 -3.538756354474172383e+01
2.728093474892214321e+00 4.481419077691861652e+00 1.990919918784743448e-01 -3.650655179234591685e+01
2.812383440975787519e+00 4.292977406454908440e+00 2.180791091622702738e-01 -3.563069734861361582e+01
2.784229284666486670e+00 4.317494549258271697e+00 1.436201249601837537e-01 -3.660208684217836606e+01
2.755437332938134087e+00 4.392295303000789630e+00 1.984302843266375072e-01 -3.450977924948909248e+01
2.678204388074664877e+00 4.535003318716167797e+00 2.123489898154427846e-01 -3.519052841495177830e+01
2.785843636409932600e+00 4.295760300889891248e+00 2.086490368580770638e-01 -3.468910330447253187e+01
2.772094315749453308e+00 4.402916908118271522e+00 1.879915630178457808e-01 -3.719392813054535196e+01
2.762739534586894585e+00 4.290060074582883409e+00 2.337454169456863184e-01 -3.852494597725032577e+01
2.827375621155643337e+00 4.284008609785375121e+00 2.114752012769889056e-01 -3.674250412576494540e+01
2.876899556163969418e+00 4.131776704669378297e+00 1.942642633327947843e-01 -3.519173280040216412e+01
2.767945122007926528e+00 4.311203883965872841e+00 1.690560136807839897e-01 -3.603541056682994537e+01
2.704688312911256443e+00 4.482539073601497392e+00 1.592713624606182654e-01 -3.601361570970182413e+01
2.722013333430538307e+00 4.463032915035581638e+00 1.738833971027512471e-01 -3.528446248359969672e+01
2.831495965631955158e+00 4.249591475666168350e+00 1.708713907199568283e-01 -3.546855661695686734e+01
2.853241576889753439e+00 4.138885266640865979e+00 1.264844787121804093e-01 -4.100466953806552084e+01
2.848737834206496622e+00 4.175548608194240785e+00 2.393234354897898486e-01 -3.660806397602873830e+01
2.943232721079672487e+00 3.999234146887285846e+00 1.667444456746698944e-01 -3.740487735741145059e+01
2.766957393562124334e+00 4.379894235528136726e+00 1.604109015697318674e-01 -3.593264753359027708e+01
2.787336322002668787e+00 4.282582158556926366e+00 1.823519772182381760e-01 -3.498426502326989862e+01
2.855157971807809947e+00 4.163550431138649088e+00 1.919111187065746238e-01 -3.495698261109426142e+01
2.604694095007346721e+00 4.653678427707003351e+00 2.634085812665182824e-01 -3.931200105651102916e+01
2.625084715354096598e+00 4.652677513377077467e+00 1.711673018074790498e-01 -3.746893715192953778e+01
2.793427093457665045e+00 4.286751878472009558e+00 2.104934984980074697e-01 -3.464445140210959551e+01
2.776686816320716122e+00 4.378209735475135034e+00 2.323897028697065881e-01 -3.686723833922841465e+01
2.736108418635856854e+00 4.391689019988968212e+00 2.663928656484433333e-01 -3.832449686019690205e+01
2.705180951052859495e+00 4.511847673065599196e+00 2.175682960117153175e-01 -3.599833179903378522e+01
2.888028291447988671e+00 4.105786168997125785e+00 1.833120788539457646e-01 -3.548457681123082352e+01
2.828635732910747880e+00 4.167801484483718788e+00 1.914742726732680811e-01 -3.735253398039392891e+01
2.853857312890967446e+00 4.154351027234903349e+00 2.111767900639168749e-01 -3.554293564330750854e+01
2.716191832540108653e+00 4.431992034373579692e+00 2.001439224376352077e-01 -3.479583706014788902e+01
2.845367594240142406e+00 4.190822384270465051e+00 2.208438003173489317e-01 -3.541282625425618136e+01
2.798800047738482011e+00 4.312907567924727736e+00 1.917461636063856056e-01 -3.474446620910332939e+01
2.820718073214384614e+00 4.288734696777056321e+00 1.425028225172400576e-01 -3.855610773482587206e+01
2.787532140110448697e+00 4.306681549635608341e+00 1.716472772473989772e-01 -3.465358340195089681e+01
2.812188897098415463e+00 4.224628213592032999e+00 2.316740337368199953e-01 -3.646093205612943677e+01
2.675909721792043783e+00 4.520724542532490453e+00 2.099089108689640437e-01 -3.520664514023951597e+01
2.771085245705491307e+00 4.314896425030597449e+00 1.917362807401238600e-01 -3.483400984303889203e+01
