# slope intercept sigma lnLike
2.832965253475327128e+00 4.198236964699940899e+00 1.453421365703533863e-01 -1.440150469643223552e+01
2.866687560397998880e+00 4.107429125983903084e+00 1.229009137496710757e-01 -1.378533840155034973e+01
2.917489769783062403e+00 3.970675344942688145e+00 1.171901008318099874e-01 -1.501236532279250468e+01
2.868269027109578317e+00 4.109398386928834412e+00 9.086782766175532933e-02 -1.598922297531920123e+01
2.923632117034112188e+00 4.027194135616444015e+00 1.520440885988383339e-01 -1.545547176789046695e+01
2.940977457959372376e+00 3.925946959577745421e+00 1.713078908792683430e-01 -1.553085619976823573e+01
2.872449365804353061e+00 4.089033909012941947e+00 1.527506621978181878e-01 -1.368477456511451607e+01
2.815608436193538733e+00 4.195213694393513215e+00 1.509236614444948721e-01 -1.393155032715561248e+01
2.904764719454544952e+00 4.016118580277628247e+00 1.672856622666634985e-01 -1.446502242555610884e+01
2.885651418791731704e+00 4.053580923112396484e+00 1.686643428022733260e-01 -1.442726793116215411e+01
2.829783547549171274e+00 4.188984780183347745e+00 1.573565548030325667e-01 -1.405236022080529779e+01
2.775040355461196651e+00 4.324751341598613408e+00 1.832367808264011855e-01 -1.683491546902532221e+01
2.885412569064739419e+00 4.069581065902739603e+00 1.185112655573989510e-01 -1.395476711779949142e+01
2.857512285122338458e+00 4.138259127291534334e+00 1.321426285885823892e-01 -1.388080241903359813e+01
2.824984251677841396e+00 4.158899558886329118e+00 1.124609362775961519e-01 -1.526136911502831239e+01
2.707274037629413765e+00 4.417470359135741376e+00 1.702016565889506172e-01 -1.643811142805724756e+01
2.920226786921542139e+00 4.003444224029300891e+00 1.231918297831584574e-01 -1.408691386528833789e+01
2.920214417399780160e+00 3.988962735596807807e+00 1.405280875831649290e-01 -1.380733351091212668e+01
2.835517994742958070e+00 4.163451803879557822e+00 1.489751787643062708e-01 -1.367228134013343421e+01
2.881119561672486729e+00 4.052092826080257559e+00 1.465698334742553677e-01 -1.394730645318006168e+01
2.877948641163214027e+00 4.073391195035407364e+00 1.230633074366219160e-01 -1.377536082204042245e+01
2.915465645766588842e+00 3.998014007863088803e+00 1.234694975222730140e-01 -1.396249306527603551e+01
2.911717362436746726e+00 4.027706512831061403e+00 1.090556024305233268e-01 -1.482761019355593746e+01
2.955936247929063843e+00 3.899980038751994282e+00 1.735542562778411568e-01 -1.573112631232907432e+01
2.915589222535314384e+00 3.947772698688069681e+00 1.470332719394087939e-01 -1.650410518643299440e+01
2.938809936053137672e+00 3.946897926853718985e+00 1.318212479904597445e-01 -1.412801908694140174e+01
2.812044038081169095e+00 4.176392267906441802e+00 1.922742080637983020e-01 -1.691670116777784116e+01
2.916850686727196162e+00 3.989121248898350292e+00 1.796697545281148167e-01 -1.534991460789037987e+01
2.940473078864358047e+00 3.953493862578270956e+00 1.221281307082955070e-01 -1.427800994861375550e+01
2.852977505847814843e+00 4.139406517591534218e+00 1.536002941634743713e-01 -1.380008224965935781e+01
2.958199898108731851e+00 3.942780761458624106e+00 1.346608534147615555e-01 -1.496882058033534157e+01
2.783793425282368172e+00 4.229410215673929052e+00 1.349965621370454727e-01 -1.578380988536124541e+01
2.845997121351144354e+00 4.128269608467516782e+00 1.314619153222310599e-01 -1.382858361248838719e+01
2.787779048895092426e+00 4.263103371587408930e+00 1.554242106716421379e-01 -1.428294768911930568e+01
2.955306727850728787e+00 3.967195531449668078e+00 1.207120041282304795e-01 -1.652673602051605073e+01
2.921768249887178204e+00 3.973337912493845714e+00 1.550071299226734589e-01 -1.431132548522737657e+01
2.867670526617719595e+00 4.096341663787588239e+00 1.230379434387947751e-01 -1.375517263994985306e+01
2.831843984656335689e+00 4.154834000237397795e+00 1.212412019774499472e-01 -1.428819741128429044e+01
2.970655576578564716e+00 3.906936483139599847e+00 9.318096903504688444e-02 -1.681573680234025758e+01
2.831959320439776384e+00 4.196800992250878437e+00 1.894687101971928023e-01 -1.617281945906637119e+01
2.824450714016766728e+00 4.201191131161514214e+00 1.445331186491760345e-01 -1.389232917452562432e+01
2.624340065508249609e+00 4.630530561164192704e+00 1.511980394088820734e-01 -2.106364945593267635e+01
2.886842748957146210e+00 4.062475410663318520e+00 1.098085743287304100e-01 -1.435274175887378334e+01
2.890611115386181762e+00 4.042498379201743930e+00 1.211131502163208251e-01 -1.396158866554181088e+01
2.851841002059512409e+00 4.133612692047917037e+00 1.358769432307516678e-01 -1.353827400230953693e+01
2.776088775947693321e+00 4.256972624306427200e+00 1.624984678734494037e-01 -1.528784540659708568e+01
2.866670087324715954e+00 4.051440536035074480e+00 1.589408207907395676e-01 -1.599237020984539726e+01
2.823671695517883329e+00 4.226980141944642000e+00 1.737128700965359374e-01 -1.586466366197805655e+01
2.916656248564640563e+00 3.976335726666786030e+00 1.348591439402100356e-01 -1.431456385416353960e+01
2.826360369383959181e+00 4.194893831288268871e+00 1.637019912921257869e-01 -1.427518282050206189e+01
2.908544695398845636e+00 4.058859228567864186e+00 1.442028410768498303e-01 -1.530063470190167507e+01
2.898938720407146175e+00 4.052504560815135548e+00 1.139349294333487916e-01 -1.444295452449751949e+01
2.871774760164930385e+00 4.106075958628013112e+00 1.287916046435125805e-01 -1.381245986281523486e+01
2.858952159072852606e+00 4.128157513915403420e+00 1.247620716577140521e-01 -1.383226077045689983e+01
