# slope intercept sigma lnLike
3.583226735575077981e+00 2.547195329660161267e+00 5.509424247192108715e-02 -1.056874338763186483e+00
3.551462609402511905e+00 2.652890322753800767e+00 4.845474137702222850e-02 -3.377816355781224633e+00
3.474192828803774447e+00 2.747884396718736522e+00 3.572080883942362062e-02 -1.691205567879019656e+00
3.740826579949766639e+00 2.251565534278067826e+00 7.728857787973053561e-03 -3.291678211291126921e+00
3.386718165241539680e+00 2.914465663894243441e+00 7.463063772846136035e-02 -4.145758887211704824e+00
3.551859890023020050e+00 2.565709266093588514e+00 7.672251706169036511e-02 -2.581694794417933370e+00
3.590739752635500270e+00 2.497683831336486637e+00 2.326391490464306197e-02 -9.420699769449865091e-01
3.704200946532473449e+00 2.318915415663496127e+00 1.882982609242939143e-03 -2.211645045746086335e+00
3.717272175418015578e+00 2.245849326446484273e+00 2.222989298118721938e-02 -1.420891370579719926e+00
3.588492826765199872e+00 2.518723403859775445e+00 3.055161277468315673e-02 -6.190914908103435366e-01
3.775445057632009327e+00 2.155395342208918041e+00 2.215613527599873123e-02 -2.579474286974733133e+00
3.668698461932746291e+00 2.371399466917743837e+00 1.160945821286998164e-02 -9.442469625838667557e-01
3.738384815399316441e+00 2.209931292752920662e+00 4.963412299864129046e-02 -2.047135050996413241e+00
3.666752086825099788e+00 2.339328731141775641e+00 9.163287348430360080e-03 -1.150193858468008257e+00
3.642625624495023917e+00 2.402581458818570770e+00 5.244986268008872132e-02 -1.123212980112212600e+00
3.583800128688452435e+00 2.508895406057784161e+00 4.601736410977157188e-03 -1.020947642501148556e+00
3.494541478637092080e+00 2.730190579637997494e+00 6.317738550636911588e-02 -1.634490220524515758e+00
3.666156466454858709e+00 2.418730190768277222e+00 3.924258575382357644e-02 -3.744174728836085375e+00
3.629842100933176940e+00 2.409509136361391857e+00 3.355375154921423630e-02 -1.402559208478892039e+00
3.521190645810076791e+00 2.664867015681320339e+00 5.444962109200894573e-02 -1.162952659322034510e+00
3.422251246510930045e+00 2.871862235302116151e+00 3.596404966535739905e-02 -2.572496531805564146e+00
3.668364192295732629e+00 2.352344879941147937e+00 3.422437845671617851e-02 -9.535037005068321969e-01
3.619881857435812922e+00 2.444032369391357928e+00 2.561204962533578100e-03 -6.693253805388261757e-01
3.487958789693974548e+00 2.756452396691037254e+00 8.996115960941894474e-02 -2.647191758068773382e+00
3.581581685102827706e+00 2.545234175385641340e+00 2.899184065697650581e-02 -6.591453027923039887e-01
3.506132694275154726e+00 2.697751735052953848e+00 3.247861192411378994e-02 -1.142292338233949378e+00
3.420385218616222467e+00 2.882499665940454481e+00 7.939263180536745845e-02 -2.863268636504273434e+00
3.555785025638723340e+00 2.617800018044129651e+00 6.309537985769189672e-02 -1.698620730294638115e+00
3.668064308448870658e+00 2.392320574424374513e+00 4.634209182065386623e-02 -2.075122290623942156e+00
3.499239313357125347e+00 2.709729644854355080e+00 4.702801354536253337e-02 -1.286338078572429433e+00
3.512043227748782748e+00 2.665085361717174361e+00 2.611056241503001765e-02 -1.277222388873890946e+00
3.556564423202571046e+00 2.547174248918482320e+00 2.388961831562956203e-02 -2.301212824253763944e+00
3.545089558883228076e+00 2.627482195540613574e+00 2.068418769738183949e-02 -9.387814044390251356e-01
3.498792676605237961e+00 2.729790120406798248e+00 4.051487605713000734e-02 -1.652205082901450517e+00
3.629522880021270215e+00 2.438986741717660944e+00 8.310921089061314160e-02 -1.924610652766343799e+00
3.548589192326923936e+00 2.584377261495846234e+00 6.258564486050557929e-02 -1.608363832007232652e+00
3.602781286808022010e+00 2.456451825434002423e+00 5.227035166259331317e-02 -2.158078879811505590e+00
3.642306937804423494e+00 2.394043083919944248e+00 4.895619347848145786e-02 -1.270975352482461185e+00
3.670419419681591133e+00 2.372033552679784663e+00 4.265564032314655279e-02 -1.349871103539119321e+00
3.515039513611649458e+00 2.708987409875430519e+00 1.379353832280096614e-01 -5.422220638501761947e+00
3.544492444946441445e+00 2.611674948403051033e+00 5.654503897872163731e-03 -7.050166873490639752e-01
3.566342685864118955e+00 2.596820512538529080e+00 2.771014876324982487e-02 -1.373517918210418909e+00
3.584327683200198678e+00 2.552784817829472974e+00 2.622747663022541309e-02 -9.964218274132635722e-01
3.491626962327971206e+00 2.708134187106331137e+00 5.021751771220336891e-02 -1.641801235598489672e+00
3.643763064145603803e+00 2.413399929877288130e+00 5.644140643405320956e-04 -5.991726194743693945e-01
3.549140391260352523e+00 2.643489940698529050e+00 5.887576352947705011e-02 -2.318665452678399852e+00
3.437370617810333595e+00 2.854744293694947199e+00 6.442497780621944670e-02 -2.573503098575697923e+00
3.371365237669828208e+00 3.030122224672290532e+00 1.448911661104364534e-01 -7.911111221422367556e+00
3.551555798494396843e+00 2.593244320497559485e+00 3.900384983763020147e-02 -8.298756379136295047e-01
3.589853054089976236e+00 2.492977493420732049e+00 6.681398164476833913e-03 -1.170992162728655694e+00
3.526558279562266751e+00 2.675090420219679022e+00 6.415836279392628239e-02 -1.716808373023350542e+00
3.573834243746571104e+00 2.554077801530375336e+00 3.119782506838829697e-02 -6.365390174266659651e-01
3.559633658489555597e+00 2.539554392109506065e+00 1.279655375204110518e-02 -2.345752610925849968e+00
3.587436320250146693e+00 2.545678722259601567e+00 5.879038822146187560e-03 -9.140303127767167579e-01
3.525600256652222875e+00 2.655640586823036831e+00 8.669339377115110878e-02 -1.935503739287912861e+00
3.532114692020896118e+00 2.595187007975194859e+00 9.082396474481914395e-02 -3.943866203210037114e+00
3.662643002550347138e+00 2.345184887907640903e+00 6.087137093324427456e-03 -1.223873991270836736e+00
3.593311729604997229e+00 2.517800854159077062e+00 8.064982685870719648e-04 -5.124499442848347019e-01
3.584382422333049156e+00 2.518580128836838128e+00 1.915908530686898092e-02 -6.909377456919834071e-01
3.515555971147514835e+00 2.654024968381677674e+00 2.915715029765097999e-02 -1.380013460007893711e+00
3.531723848405765143e+00 2.613052983643100013e+00 4.108049904306130401e-02 -1.652036743027775145e+00
3.645353173285550419e+00 2.408470157606268369e+00 2.670572713979144086e-02 -6.993686622180307344e-01
3.619285627845479247e+00 2.461513192661864746e+00 7.184700904559959689e-02 -1.444102233077613651e+00
3.679227263421320337e+00 2.325172031919354065e+00 2.987058358519932219e-02 -1.061695791354546614e+00
3.682077702778395967e+00 2.292260619541296229e+00 6.822278340132173491e-02 -3.032544361434507785e+00
