# slope intercept sigma lnLike
3.181334083259147683e+00 3.308182649770664341e+00 1.363771875016950574e-01 -1.880804835586900126e+01
3.190183875371322308e+00 3.313592824979034734e+00 1.362752667176641286e-01 -1.928572951904334687e+01
3.172156702204399714e+00 3.295925249126379519e+00 1.565212385696775343e-01 -2.044912742364306624e+01
3.410746199399294021e+00 2.830810749686219374e+00 8.489276408605274382e-02 -1.906954149397941478e+01
3.216843873894061012e+00 3.229222967222059371e+00 1.529988502407141626e-01 -1.916651944753759196e+01
3.318365554257759698e+00 3.010827809461040783e+00 7.304430846723539150e-02 -1.829455584417278757e+01
3.236228223218693856e+00 3.180739784220330435e+00 9.929628850106556048e-02 -1.810600710003974356e+01
3.264797231909636999e+00 3.152633482476908888e+00 1.466817342198187546e-01 -1.899290554410367449e+01
3.221755897281812775e+00 3.238970046555286419e+00 1.299111737994481652e-01 -1.846822656312427569e+01
3.182143951453082042e+00 3.292628234939843690e+00 1.403251647910411515e-01 -1.904395132424163251e+01
3.339909928777040182e+00 2.973727898821123983e+00 1.201729517364415745e-01 -1.830927852495333852e+01
3.497820462816376264e+00 2.644127313840735294e+00 8.639087787495483561e-02 -2.166748474954882298e+01
3.444726856604590992e+00 2.753355292405410548e+00 2.757830950793331570e-02 -2.089413677595838337e+01
3.296824337468448718e+00 3.064860710031152013e+00 1.221080613589060199e-01 -1.797931086488985386e+01
3.275470828456819472e+00 3.170157850961991208e+00 9.191554413622647635e-02 -2.153402048796018420e+01
3.143427143153210590e+00 3.392594192570323131e+00 1.568543669519906758e-01 -2.011734929643441916e+01
3.295504373813257892e+00 3.061812813066085770e+00 8.872603364592582254e-02 -1.789147033237683715e+01
3.241820350822706143e+00 3.170477383221633971e+00 1.579326964133425104e-01 -1.950584899483851942e+01
3.302161856275797280e+00 3.067494467196380636e+00 1.255411298295726619e-01 -1.814375005993397494e+01
3.343693730621823512e+00 2.988029400834815608e+00 9.469473089596117110e-02 -1.825182276834817330e+01
3.215061618650879360e+00 3.246353775800794761e+00 9.086838691277331070e-02 -1.854465250254762410e+01
3.353340764512613870e+00 2.958247925274352763e+00 1.197408875337000606e-01 -1.842579915907481336e+01
3.206059353208527529e+00 3.224309892491215912e+00 7.217194278994581991e-02 -2.013445296998402512e+01
3.225830135644195185e+00 3.198681179191849022e+00 7.269607968221925010e-02 -1.901465695577319437e+01
3.206598431910328451e+00 3.238763621352532152e+00 7.452025870895495618e-02 -1.928892662331571373e+01
3.396306252720715957e+00 2.839912677426475351e+00 9.643435195709185170e-02 -1.941349896396630825e+01
3.282897609312646736e+00 3.096708363836357059e+00 7.995798285451920229e-02 -1.799357594140514749e+01
3.479352311059128677e+00 2.726404683758481884e+00 1.180699208679773515e-01 -2.213249336252476951e+01
3.343504444065088954e+00 2.941480031709372778e+00 1.518417711634154621e-01 -2.063005777676518804e+01
3.146721776502279244e+00 3.372274026927621460e+00 1.852814977081612968e-01 -2.187245878470157123e+01
3.163301050947199489e+00 3.318491003199721678e+00 9.064905894085346916e-02 -2.004734439243397759e+01
3.383987376390336088e+00 2.908756192419872821e+00 1.014294512057533626e-01 -1.890398657939133287e+01
3.256376346512795728e+00 3.133296270707802922e+00 1.077873056385122985e-01 -1.811803379771086497e+01
3.359422586172241321e+00 2.940677243432404886e+00 7.068480568724339053e-02 -1.843011729392326714e+01
3.154317753604692687e+00 3.390600054201869717e+00 7.296734043158065175e-02 -2.199831114500573293e+01
3.269527859555718230e+00 3.132213559818957549e+00 9.784332964138421629e-02 -1.782516057719193370e+01
3.280780351439676501e+00 3.133666962636020070e+00 8.493513049237527701e-02 -1.913353581582700613e+01
3.240616471206080096e+00 3.181636925681976980e+00 1.179008471593102625e-01 -1.792206282827778097e+01
3.305643945044404397e+00 3.059409253132318707e+00 7.318853578390469017e-02 -1.823339673954738416e+01
3.256139437314716556e+00 3.119957235903052073e+00 8.835155445047256084e-02 -1.903259117106201970e+01
3.235240522656296136e+00 3.175081918231176914e+00 1.346481694215818647e-01 -1.870567346521406904e+01
3.194514644507366885e+00 3.303092375683183590e+00 1.196604148997328504e-01 -1.897863399659923189e+01
3.378629764793378065e+00 2.875798615791530732e+00 7.384579391227362455e-02 -1.927141566039333043e+01
3.286473276190804871e+00 3.110994331925588163e+00 1.078691368958367564e-01 -1.816562424022990285e+01
3.365124026383153222e+00 2.907978304616284149e+00 8.763850861187304220e-02 -1.871806200215219462e+01
3.186796100227607731e+00 3.344652420724789632e+00 1.377515024071103988e-01 -2.101828745578630375e+01
