# slope intercept sigma lnLike
3.637978670261681202e+00 1.090044008069886772e+00 1.110271966112913039e-01 -5.901261363502893431e+00
3.478600858806838669e+00 1.489128872468186593e+00 9.945756137008898712e-02 -4.241468816618325199e+00
3.674805083430535024e+00 9.831653035477883051e-01 1.061632985208442737e-01 -7.491247537807952384e+00
3.642580868218189494e+00 1.116324515373319670e+00 9.148709917161766680e-02 -5.676167080227562778e+00
3.539357508938902441e+00 1.324639045349801592e+00 9.485048096077605684e-02 -4.604190071688039509e+00
3.447907058538120850e+00 1.573191999644880212e+00 6.483521354939880688e-02 -5.392074196731016400e+00
3.633363658358927051e+00 1.133881688792826914e+00 9.951953287239059809e-02 -5.440279128085405702e+00
3.490169083313139797e+00 1.469096092868574566e+00 1.185386898519647653e-01 -4.705281704448007751e+00
3.539725612605930216e+00 1.308656689935973727e+00 1.246893295921525646e-01 -6.274120848415112306e+00
3.529229833823375184e+00 1.397017104649164176e+00 5.914342383012927140e-02 -5.735456405841357963e+00
3.556375561112100847e+00 1.301907799234654384e+00 7.775244085173707576e-02 -4.243743075397398812e+00
3.471223402492393806e+00 1.518973963581883524e+00 8.425366778206620777e-02 -4.436522109176430639e+00
3.483069274359924972e+00 1.439232024569617518e+00 7.130425416927156645e-02 -6.855798774496152603e+00
3.527342669524502039e+00 1.393096216365848461e+00 6.016686565527714498e-02 -5.185317016402743562e+00
3.495292079010521746e+00 1.471857461850397453e+00 9.037932136210118095e-02 -4.561852528411764141e+00
3.461361750670241211e+00 1.545513152150256531e+00 8.076294733577620011e-02 -4.685778525882231094e+00
3.496916899761143060e+00 1.501439970300136872e+00 6.910371229332033793e-02 -8.149862335116543122e+00
3.565214134646033095e+00 1.249909496154356425e+00 6.669385494942417503e-02 -5.946874725664102357e+00
3.610377089312714283e+00 1.171639389334806491e+00 7.166880276981023312e-02 -4.828583260144762690e+00
3.512866721538399517e+00 1.407095907023389936e+00 1.194526905803929284e-01 -4.708733130735010874e+00
3.556228434058832377e+00 1.339634134111961306e+00 5.220884585419424684e-02 -6.718438524350284879e+00
3.466623048715637534e+00 1.524550136970541647e+00 7.295091541534072521e-02 -4.709746129522759617e+00
3.514645178553171601e+00 1.409599297528908002e+00 9.328229029232357195e-02 -4.079267348488447631e+00
3.514485221045089425e+00 1.400350875704373665e+00 7.539253334372882087e-02 -4.290690328544130239e+00
3.528675285711805110e+00 1.381797631895058220e+00 8.494750583223079077e-02 -4.196514976636752436e+00
3.443323129694367157e+00 1.604019965171463502e+00 5.060047272063709911e-02 -7.307739158737549090e+00
3.497590430041450649e+00 1.410342473827451926e+00 1.499852219959854072e-01 -7.748380577349758269e+00
3.467165825662038792e+00 1.504339029736952993e+00 1.123606739013496142e-01 -4.799545414653613840e+00
3.403455456736727225e+00 1.647526561954702817e+00 1.295265858547307025e-01 -6.510356306619938138e+00
3.659321334992871488e+00 1.036726033597149321e+00 1.219563090541476991e-01 -6.856337488902942923e+00
3.516781416699418461e+00 1.386903903132622906e+00 1.091702421702022974e-01 -4.503283116927550900e+00
3.522103798861671464e+00 1.399056818926672996e+00 4.754778392520915553e-02 -5.594142292651660853e+00
3.575504620768753306e+00 1.228530432125977123e+00 1.190923480158849190e-01 -5.897118412480577554e+00
3.481676398061804178e+00 1.488735917564880440e+00 5.281633641139567292e-02 -5.490617799805676214e+00
3.567999279925158085e+00 1.301348122223163539e+00 1.188154242562720897e-01 -5.624208396569363444e+00
3.628554836784021465e+00 1.132537048069900409e+00 7.987825137404161446e-02 -4.980520827631555569e+00
3.627760657253538579e+00 1.178646632816939377e+00 9.291204129855748506e-02 -7.376887051078341528e+00
3.483888705951273757e+00 1.526265336443960896e+00 4.027942390837856157e-02 -9.472153092842631850e+00
3.580396572907973862e+00 1.277486803204385124e+00 9.100898434501186740e-02 -5.407966516664503231e+00
3.628328998314683584e+00 1.107646408239142843e+00 8.856454735188647176e-02 -5.573983145330243971e+00
3.734990881326667012e+00 8.915016439925683711e-01 5.776214409827425122e-02 -8.458940254271789527e+00
3.493290294190252165e+00 1.449812439984136336e+00 1.052269894199721889e-01 -4.301204088867931041e+00
3.417700924729880185e+00 1.611707923815120624e+00 9.126815751671443766e-02 -5.891465196226064904e+00
3.522180334440729421e+00 1.390006779461308462e+00 5.274571731470764635e-02 -5.120069379881916127e+00
3.544049166194245704e+00 1.369240984480529777e+00 1.002539009746869630e-01 -5.529925550886025221e+00
3.541035408298508713e+00 1.330632295620110428e+00 9.585840056902970863e-02 -4.252170778094753523e+00
3.593223307608995221e+00 1.221827548101501293e+00 1.077632000410205099e-01 -4.840052470227847792e+00
3.562013405110564968e+00 1.266346750030280965e+00 6.311564616911748138e-02 -5.416011820486634321e+00
