KID,Name,Quality,MS_flag,Redshift,INC,Re,Re_err,Mag_H,sigma,sigma_err,Ve,Ve_err,Vopt,Vopt_err,Vc,Vc_err,Mstar,Mstar_err,Mgas,Mgas_err,MH2,MH2_err,MHI,MHI_err,SFR_tot,SFR_tot_err,SFR_Ha,SFR_Ha_err,Rot_Disp_ratio_int,Vc_int,Vc_int_err,Mstar_color,Mstar_color_err,Rout_Flag,Rflat,Rflat_err,Vflat,Vflat_err,Wiggle_Flag,log(Rgas),log(Rgas_err),Rgas_flag,BUR_Flag,NFW_Flag,MCMC_flag,,
13,C-HiZ_z1_195,2,OK,0.845449289,41.24116972,2.1293561,0.6388069,-21.08,30.856191,3.463326077,49.28188155,23.56863743,58.34787633,23.2259489,72.84825933,12.01420796,4140284079,1907965013,1.1021E+11,2.09364E+11,2275868418,3521718152,81153568770,2.05842E+11,10.95560316,0.547780158,1.579282497,0.078964125,1.233246415,38.05328694,8.719055175,1206470709,60323535.44,OK,7.647407703,2.497632897,92.41540162,10.66682756,OK,1.023472302,0.949853584,ok,X,X,ok,,6297861929
20,C-HiZ_z1_245,1,OK,0.833362054,61.52763644,3.4952984,1.0485896,-21.79,45.94706476,2.906838406,129.2882861,41.36998341,161.6077667,7.986683668,167.4876312,13.47251657,7962153419,3669195124,87346589942,2.49591E+11,2938688240,6856998580,63464587747,2.42734E+11,13.0877072,0.65438536,1.886631579,0.094331579,3.464285271,159.1737397,13.3332703,5525076695,276253834.8,OK,10.65747193,2.48622554,192.3183195,11.90468294,OK,1.191345395,1.10558638,ok,B,B,ok,,
21,C-HiZ_z1_246,2,OK,0.842185379,41.96344698,2.615322,0.7845967,-21.12,36.33641011,3.431508646,64.69054541,27.91733225,108.3401702,14.82652604,133.6406035,13.54372026,4295666006,1979569588,88827153591,2.0983E+11,1877242304,3612516546,65375873148,2.06218E+11,7.39120971,0.369560486,1.065464672,0.053273234,2.676636181,97.25934999,15.5073969,983299514.3,49164975.71,OK,7.637658081,2.494448684,128.142608,11.64691487,OK,1.562608141,1.369252,F,X,X,ok,,21574038139
25,C-HiZ_z1_258,1,OK,0.837600693,50.5938355,4.6041574,1.3812473,-22.11,66.7937927,3.788588323,219.4546169,29.41904412,215.2764835,21.55808653,222.9000613,21.09688509,10691297668,4926865285,61930950567,2.62618E+11,2633399027,9134050512,44584625218,2.53484E+11,9.053877507,0.452693875,1.305143137,0.065257157,2.557423274,170.82,25.61565026,7505115771,375255788.6,OK,7.625092603,2.490344816,222.5484691,21.11815527,OK,1.274338085,1.145263332,ok,B,B,ok,,14712926322
28,C-HiZ_z1_267,2,OK,0.839406416,31.09830588,4.431997,1.3295991,-20.42,14.25840901,3.371659145,118.7907834,33.67750879,114.9027654,9.904385288,131.2265893,20.78041152,2254395961,1038892148,1.01935E+11,1.80625E+11,1290853784,1860383307,75672496432,1.78765E+11,4.936622664,0.246831133,0.711628712,0.035581436,9.085796313,129.549,20.97915533,412747121,20637356.05,OK,7.630022006,2.491954752,130.5816288,20.3506956,OK,1.024041626,0.977367042,ok,X,B,ok,,24971923823
31,C-HiZ_z1_275,2,OK,0.850856041,63.75155873,2.456358,0.7369074,-21.83,47.51428445,3.72211416,194.2375829,84.38155567,165.0638999,18.73984291,159.7499828,13.32051073,8260952882,3806890729,91184697353,2.45371E+11,3253303489,7151387316,66113829973,2.38219E+11,15.47469417,0.773734708,2.230722789,0.111536139,2.129288692,101.1716286,5.741655719,3167425201,158371260,OK,7.662552728,2.502579241,138.0557093,13.17391255,OK,1.026128625,0.91477741,ok,B,B,ok,,21817563891
32,C-HiZ_z1_277,2,OK,0.838362987,36.70802445,4.153598,1.2460794,-22.11,21.14147611,3.490777776,136.4892619,47.20824452,88.18246602,8.550185044,88.61219618,10.93695171,10691297668,4926865285,47221577398,2.58134E+11,2010566883,8989957306,33993240989,2.49144E+11,5.330859076,0.266542954,0.768459053,0.038422953,2.756524649,58.277,10.93682058,6656379636,332818981.8,OK,7.626921422,2.490942106,88.59836813,10.86014928,OK,1.29274784,1.186713233,ok,X,X,ok,,11217769526
34,C-HiZ_z1_285,1,OK,0.833803936,71.31471828,1.5820578,0.4746174,-21.26,43.91010202,3.472977809,75.97913957,28.62155502,78.878233,25.19819708,83.09669802,9.247467861,4886864122,2252011116,89188255922,2.2002E+11,2054480880,4130287696,65514116573,2.1589E+11,8.318634285,0.415931714,1.199155658,0.059957783,1.041013628,45.71101461,3.9601033,3412860798,170643039.9,OK,7.613807439,2.486659097,139.3236853,21.20062961,OK,1.250786832,0.989130062,ok,X,X,ok,,21619658469
35,C-HiZ_z1_289,1,OK,0.842692497,46.29177391,3.7175689,1.1152707,-22.17,33.12239699,3.137711873,144.4477437,56.90450823,191.4409117,11.63557675,202.256693,9.848117686,11298745024,5206794942,72276205300,2.66713E+11,3234142694,9766113494,51911325268,2.56947E+11,13.12284595,0.656142298,1.891696935,0.094584847,4.973198552,164.7242567,9.808852919,7238709621,361935481.1,OK,10.69508426,2.494999923,194.8842988,5.915559783,OK,0.901477145,0.873616701,ok,B,B,ok,,17130737338
39,C-HiZ_z1_297,2,OK,0.840623489,36.11909776,3.7084405,1.1125323,-22.91,75.98683943,3.593180686,221.4243603,69.36832488,210.1358908,18.28571131,259.1559514,22.37420343,22337271401,10293673457,59063170197,3.19626E+11,4400725752,19598770436,41099582289,3.00027E+11,16.99188129,0.849594064,2.449429786,0.122471489,3.010837162,228.784,24.68724471,32253573253,1612678663,OK,7.633515751,2.493095804,257.5809617,22.28359478,OK,0.718716207,0.691474628,ok,X,B,ok,,13562862156
45,C-HiZ_z1_314,2,OK,0.834880299,42.37595018,1.7687768,0.53063303,-22.04,117.5483687,3.544418545,242.8086121,71.26728741,251.5828466,63.45084165,258.0002564,14.82566126,10023757306,4619242998,1.18483E+11,2.69391E+11,4772626341,8872135889,85496637241,2.60519E+11,30.08261538,1.504130769,4.336497701,0.216824885,1.321536495,155.3444592,18.49158218,6428755799,321437789.9,OK,7.61642765,2.487514854,245.2256152,9.251357937,OK,0.579717618,0.553096991,ok,B,B,ok,,28213890290
46,C-HiZ_z1_317,1,OK,0.853780219,68.83972134,3.9519444,1.1855834,-22.77,122.2807048,3.706071911,191.3982268,58.24603835,216.7892684,13.37688791,290.4576175,14.50359364,19634975527,9048375819,73309542043,3.05414E+11,5072950363,17375099948,51305708030,2.88039E+11,23.78170893,1.189085447,3.428203459,0.171410173,1.227127372,150.054,17.83720761,23268393363,1163419668,OK,7.670748028,2.505255815,288.2738914,14.47569684,OK,0.994529918,0.894241846,ok,X,X,ok,,16930883650
47,C-HiZ_z1_319,2,OK,0.840024327,73.86721259,7.07452,2.1223562,-22.37,17.63931397,2.311167721,146.4114826,15.87668418,160.0628703,16.85055211,159.9060701,15.39027628,13584088881,6259948793,41071401536,2.72424E+11,2105032963,11439728706,29298021483,2.60984E+11,5.157280992,0.25786405,0.74343726,0.037171863,8.695122738,153.376,15.8122579,12500144333,625007216.6,OK,13.73486665,2.492104812,160.2769733,15.56319314,OK,1.384056507,1.188084821,ok,X,B,ok,,9668347090
48,C-HiZ_z1_325,2,OK,0.837241065,28.06400003,0.9275281,0.27825844,-21.14,40.15734297,3.458639595,102.6173411,36.44276502,105.0574796,31.82105394,115.5687613,22.45744757,4375522559,2016369843,78769154340,2.11095E+11,1674266504,3655310224,57966081079,2.0744E+11,5.874980449,0.293749022,0.846895753,0.042344788,1.663899725,66.81779192,10.65096489,2317129560,115856478,OK,7.624124414,2.490028607,100.0689994,16.40262377,OK,0.656066075,0.626251106,ok,B,B,ok,,19128806756
51,C-HiZ_z1_340,1,OK,0.835543867,46.7583236,2.2292604,0.6687782,-22.62,68.85945256,2.916685736,185.3288893,60.03066926,241.1756991,57.94762632,206.9561376,13.93996766,17101354747,7880808639,52706686312,2.96796E+11,3190247254,14744697532,37230405307,2.82051E+11,10.3947409,0.519737045,1.498432548,0.074921627,2.099616816,144.5784645,13.64335488,19883136850,994156842.5,OK,10.66728633,2.488515091,204.0647756,11.50777455,OK,0.729713347,0.704090921,ok,B,B,ok,,12286033751
54,C-HiZ_z1_67,2,OK,0.839779424,74.05862675,5.1623783,1.5487136,-20.62,49.58737552,3.546010583,70.04586142,11.2772969,157.3078408,14.93334007,171.6085775,16.57651345,2710381998,1249023962,1.03131E+11,1.89168E+11,1511319357,2255530623,76405814631,1.86912E+11,6.120838022,0.306041901,0.882336847,0.044116842,2.778065961,137.757,18.53769599,778625222.3,38931261.12,OK,7.63166887,2.492492616,170.1988062,16.41452887,OK,1.625262475,1.463327729,F,X,X,ok,,25213918828
61,C-HiZ_z1_85,2,OK,0.837831721,41.3643225,0.92817795,0.2784534,-20.41,93.2004531,3.923065206,195.7185219,61.68399151,199.4198768,52.5848132,215.3114208,34.00218128,2233727063,1029367310,1.98894E+11,1.87942E+11,2493462763,1916304840,1.4767E+11,1.86025E+11,18.06119068,0.903059534,2.603573887,0.130178694,1.300774781,121.232799,4.980461476,117380716.4,5869035.822,OK,7.625671282,2.490533812,192.0507507,16.73616477,OK,0.507116617,0.484340448,ok,B,B,ok,,48731003822
63,C-HiZ_z1_90,1,OK,0.854808919,63.39148764,2.5611658,0.76834977,-20.95,43.66633629,3.388448823,106.2943188,36.38122876,117.6780773,10.17287329,86.99505751,9.619399648,3673080745,1692663938,1.23619E+11,2.01259E+11,2362341499,3131941975,91170132745,1.98127E+11,12.42682925,0.621341463,1.791364075,0.089568204,1.808440613,78.96797598,9.251162131,2047240410,102362020.5,OK,7.673211199,2.506060284,22.42282104,6.277949849,OK,0.820366871,0.733750254,ok,X,X,D,,30086143806
66,C-zcos_z1_1,2,OK,0.906427662,38.44918018,4.097195,1.2291585,-20.42,30.65334718,3.445376361,52.61166827,47.48502087,39.60205273,25.77524505,237.9839369,147.2298985,2254395961,1038892148,90592092668,1.6036E+11,1288975492,1856304780,67145200884,1.58503E+11,4.635311711,0.231765586,0.66819385,0.033409692,7.039916349,215.797,30.63317341,633501297.3,31675064.86,OK,7.808413294,2.550217103,231.8872237,27.55321928,F,1.227254344,1.127957648,ok,X,X,X,,22157916292
67,C-zcos_z1_1015,1,OK,0.888594701,66.91994224,7.291261,2.1873784,-23.18,78.90043582,2.57654978,292.5330778,26.64279085,325.0630444,36.58058617,310.0616757,35.26703193,28643778434,13199897896,37307496602,3.10268E+11,3603993577,24770976671,25340979718,2.85497E+11,9.852477812,0.492623891,1.420263725,0.071013186,3.564074103,281.207,38.56468858,33672424443,1683621222,F,13.97146602,2.535034275,311.178378,35.3827491,OK,1.525565414,1.370988834,ok,X,X,ok,,8362523307
68,C-zcos_z1_1021,2,OK,0.927272553,63.4272704,3.6876013,1.1062804,-21.74,39.13849962,3.392760516,106.8143528,35.66574995,99.93058465,11.06763383,113.408406,9.641562668,7603789464,3504050444,73295594550,2.09305E+11,2789892376,6511035709,53011806146,2.02794E+11,11.30366767,0.565183383,1.629457022,0.081472851,1.9497761,76.31131114,8.071667302,3191317457,159565872.9,OK,7.857329411,2.56619304,113.4626153,9.636395434,OK,0.957810478,0.874840224,ok,B,B,ok,,
71,C-zcos_z1_15,2,OK,0.92496718,53,5.2910314,3.174619,-22.4,9.866429853,3.275328796,160.6168878,15.44742168,237.1793081,19.17020473,265.7941933,20.59608899,13964649070,6435322152,45326934383,2.40892E+11,2730375127,11909194142,32027488162,2.28982E+11,8.018931852,0.400946593,1.155952669,0.057797633,26.73864852,263.815,20.71205882,16049584236,802479211.8,OK,7.8500015,2.563799754,262.9966869,20.4566888,OK,1.694069376,1.596392807,F,X,X,ok,,
72,C-zcos_z1_156,2,OK,0.868009194,54.01950612,2.1255233,0.63765705,-21.62,27.21407433,4.336482112,215.8044351,90.82083684,193.2183354,65.19487994,167.5118881,22.5707208,6808171857,3137406386,95232695911,2.27254E+11,3013177933,5869232254,69337983442,2.21384E+11,14.49831042,0.724915521,2.089974193,0.10449871,5.746046565,156.3733383,23.39173674,1512864875,75643243.75,OK,7.709796569,2.518009015,151.563973,21.3479154,OK,0.916235712,0.871994799,ok,B,B,ok,,
74,C-zcos_z1_162,2,OK,0.960409965,42.09728532,5.1750646,1.5525194,-23.52,52.418748,3.730296576,163.4502051,16.68608969,188.8555469,15.86005044,192.3358138,14.87164681,39176927127,18053883469,49168898003,3.12567E+11,6612434606,34994832967,31997340900,2.77572E+11,26.73835487,1.336917744,3.854412689,0.192720634,2.509979826,131.57,17.86098777,36093503880,1804675194,OK,7.930579814,2.590116521,192.0761252,14.94539894,OK,0.998906312,0.950851687,ok,B,B,ok,,
75,C-zcos_z1_166,1,OK,0.923378805,48.70712659,2.7665849,0.8299755,-21.61,28.29201479,3.329747124,115.9028428,42.50018974,105.0867409,14.0343648,89.53385322,9.967077791,6745752740,3108641815,87096185939,2.06126E+11,3003470885,5805277208,63227605304,2.0032E+11,13.90249078,0.695124539,2.004085036,0.100204252,2.446869636,69.22687192,9.591740128,1931287079,96564353.93,OK,7.848614703,2.563346828,104.3886501,9.862976936,OK,0.930081562,0.853165219,ok,B,B,ok,,
81,C-zcos_z1_189,2,OK,0.937734239,50.49105018,4.3405485,1.3021647,-22.46,24.32648511,3.280607674,55.8789936,51.57658332,232.2589785,136.3904376,146.0458499,88.47432459,14758078400,6800957788,77022664829,2.47449E+11,4936014111,13024385062,54200489261,2.34425E+11,24.72200857,1.236100428,3.563750424,0.178187521,5.730544276,139.404,15.86957146,10535887098,526794354.9,OK,7.881097882,2.57395579,149.0076442,15.61662848,F,1.113001408,1.021072853,ok,X,X,X,,
84,C-zcos_z1_192,2,OK,0.914106107,33.40480984,3.5357754,1.0607326,-22.01,36.35486583,4.265616913,212.4555615,83.3500877,196.7302992,28.07947381,167.9201462,18.50545176,9750575921,4493352959,1.01292E+11,2.32822E+11,4565442166,8587635693,72726446768,2.24234E+11,26.46376554,1.323188277,3.814829827,0.190741491,3.625093226,131.7897779,21.50819682,4075366872,203768343.6,OK,7.8267379,2.556201894,164.3909582,16.78991723,OK,0.825102772,0.787512755,ok,X,B,ok,,
86,C-zcos_z1_197,2,OK,0.837415524,40.76863029,3.6033008,1.0809903,-21.04,52.21290212,3.564604531,132.7140528,43.66863932,93.99825945,12.20172829,73.10062945,9.948663471,3990529605,1838953735,85659251622,2.07158E+11,1694465632,3337465205,63131418038,2.03821E+11,6.302864241,0.315143212,0.908576463,0.045428823,1.200592448,62.686416,9.551843439,1240612603,62030630.14,OK,7.624102905,2.490021582,73.14818549,9.977886566,OK,1.141463035,1.05756555,ok,X,X,D,,
87,C-zcos_z1_198,1,OK,0.959129558,68.62540123,5.584179,1.6752537,-22.42,23.89386936,3.347879364,123.8706646,15.33684007,122.5224753,12.36592121,121.7269889,12.29553443,14224277281,6554966489,61854224436,2.33949E+11,3989111553,12392979843,43507603672,2.21556E+11,16.37497245,0.818748622,2.360500558,0.118025028,4.302065876,102.793,13.11336663,13240588656,662029432.8,F,7.927196334,2.589011481,121.8719263,12.30835889,OK,1.258547481,1.087593835,ok,X,B,ok,,
88,C-zcos_z1_2,2,OK,0.896927556,57.29592725,6.1939964,1.858199,-22.65,106.1958722,3.152050357,302.1655971,14.44364701,300.1509574,16.1849961,277.9329561,22.92613125,17580451641,8101590618,46635768166,2.69027E+11,3189829417,15125726293,32666119360,2.53902E+11,9.861761823,0.493088091,1.421602043,0.071080102,1.825409934,193.851,30.32940504,19363062214,968153110.7,OK,10.89895765,2.542560473,279.4614274,22.46237976,OK,1.195013997,1.090759919,ok,X,X,ok,,
89,C-zcos_z1_200,2,OK,0.955678747,39.66247537,3.176221,0.9528663,-21.15,51.52488893,3.630493036,154.5840962,62.00286961,150.8325523,16.8747496,144.0809157,15.37865176,4416009703,2035027513,1.20345E+11,1.78723E+11,3150918886,3815696144,88115634483,1.74908E+11,18.41300975,0.920650488,2.654289644,0.132714482,2.174170688,112.0239032,18.26790937,813388075.7,40669403.78,OK,7.920606779,2.586859342,151.8254894,17.94109662,OK,0.954770555,0.901078628,ok,B,B,ok,,
90,C-zcos_z1_202,1,OK,0.840891432,53.25123182,3.161079,0.9483237,-22.73,79.21567198,2.94686243,175.1244906,55.11036602,198.5115957,11.04272087,218.453706,10.66070542,18924743322,8721079872,1.19785E+11,3.17676E+11,7893000227,17198398418,84129189075,3.00477E+11,58.11813224,2.905906612,8.377900115,0.418895006,2.134245614,169.0657005,10.86361175,10607769316,530388465.8,OK,10.68779293,2.493298967,222.9599134,10.75764499,OK,1.092932933,1.04319326,ok,B,B,ok,,
92,C-zcos_z1_322,2,OK,0.961796521,50.60369532,2.7765722,0.8329717,-23.27,79.06197138,3.336270236,203.9830886,68.26041507,164.2081984,12.41857787,214.7736334,16.26619066,31119339260,14340709336,34606926861,2.83912E+11,3968898292,27003534906,23036111706,2.56909E+11,11.00253138,0.550126569,1.586047338,0.079302367,2.087058101,165.0069279,19.60932796,32532446783,1626622339,OK,7.93348977,2.591066909,303.3821724,17.94186882,OK,0.995042666,0.903769067,ok,X,X,ok,,
103,C-zcos_z1_354,2,OK,0.838741878,36.96382078,2.0538583,0.6161575,-20.88,37.23007352,4.055408522,200.1786025,81.11354863,184.4260859,67.0634291,172.006282,23.04563352,3443735870,1586975055,1.37261E+11,2.04708E+11,2424249328,2943380625,1.01381E+11,2.01764E+11,13.69735782,0.684867891,1.974514514,0.098725726,3.647248435,135.7873274,25.52093308,725122466.1,36256123.3,OK,7.628289669,2.491388973,140.5045788,13.87650545,OK,0.815954937,0.785397053,ok,B,B,D,,
104,C-zcos_z1_356,2,OK,0.97047848,27.62914419,2.4829235,0.7448771,-22.51,36.18121719,3.29278672,92.70543087,32.81296733,85.19653305,27.14692555,113.4716227,10.20006112,15453621506,7121484565,1.05126E+11,2.42883E+11,7341836738,13947104049,73521689138,2.28936E+11,51.65227726,2.582613863,7.445828056,0.372291403,1.252699491,45.32419237,7.933204724,6159336120,307966806,OK,7.951469146,2.596938949,100.8837269,8.976552218,OK,0.923968304,0.89911947,ok,X,X,X,,
106,C-zcos_z1_460,2,OK,0.896228624,60.79532372,5.50943,1.652829,-22.6,41.79484193,3.481892983,192.0659176,14.64862818,209.1770996,15.1880333,210.6603549,15.45051667,16789212762,7736964407,49596573265,2.66797E+11,3274030715,14470548591,34828979360,2.52326E+11,10.62562934,0.531281467,1.531715798,0.07658579,4.895125583,204.591,15.71159181,12757184218,637859210.9,OK,7.782445829,2.541736164,210.3664313,15.39850265,OK,1.421453014,1.24538941,ok,B,B,ok,,
108,C-zcos_z1_462,2,OK,0.887300178,43.25046029,4.2034597,1.261038,-21.31,14.59036163,3.362130714,67.11056014,26.16777307,111.8418247,15.20305377,141.0657663,17.53820949,5117171340,2358143475,56728356019,1.98273E+11,1485931288,4234918639,41535657693,1.94038E+11,4.125002843,0.206250142,0.594631322,0.029731566,8.962766195,130.77,18.4257885,2436802514,121840125.7,OK,7.760256105,2.534489031,140.1224541,17.46283359,OK,1.677774654,1.563689509,F,X,X,ok,,
111,C-zcos_z1_471,2,OK,0.894796889,73.03677603,5.8885202,1.7665563,-22.8,42.88129762,3.486553516,213.3151206,23.8883055,201.4024885,17.91963823,201.4024885,17.91963823,20185052169,9301867359,40638552644,2.78555E+11,3069304547,17317151533,28247554960,2.61238E+11,8.542923297,0.427146165,1.231487581,0.061574379,3.333248011,142.934,22.91210414,23470053811,1173502691,F,7.77977727,2.540864617,201.7151899,18.11275574,OK,1.48421736,1.255853299,ok,B,B,ok,,
112,C-zcos_z1_472,2,OK,0.886578263,34.62124013,3.236356,0.97090685,-21.68,23.76200835,2.75797449,140.4919627,114.9899073,111.0766385,61.17448955,72.14938107,42.02636741,7194991691,3315664374,59364157275,2.17516E+11,2023218347,6054011422,43113487916,2.11462E+11,6.369081356,0.318454068,0.918121856,0.045906093,3.000920871,71.30790679,5.712304684,3199711128,159985556.4,OK,10.86171775,2.533872973,106.0626171,9.472440687,F,0.924422451,0.889008024,ok,X,X,X,,
117,C-zcos_z1_481,1,OK,0.848692663,48.07926839,1.5160549,0.45481646,-21.51,64.93660818,3.739960319,189.0700826,92.31181552,179.354816,65.09421216,167.2575195,26.24888422,6152197448,2835114031,1.14231E+11,2.31024E+11,3231665535,5331560823,83458426883,2.25693E+11,17.7689347,0.888446735,2.561444326,0.128072216,2.007598724,130.3666517,5.071085355,1423828306,71191415.3,OK,7.655291333,2.50020768,188.3025302,13.610069,OK,0.873843168,0.810178045,ok,X,X,ok,,
118,C-zcos_z1_482,2,OK,0.952926096,54.56217301,6.064525,1.8193576,-22.22,15.02531288,3.29646831,72.07876273,10.69152964,239.9079572,30.64582972,239.9079572,30.64582972,11831230166,5452179800,56528955149,2.23173E+11,3142976207,10174712349,40139833791,2.12998E+11,11.27938936,0.563969468,1.625957232,0.081297862,15.95840313,239.78,30.66047,5118790027,255939501.4,F,7.915625788,2.585232557,235.2889052,30.0438917,OK,1.639750943,1.492548882,F,X,X,X,,
119,C-zcos_z1_484,2,OK,0.855195199,42.72685267,4.3298097,1.298943,-23.03,86.59423294,3.679231355,176.0153774,55.30481931,308.3622563,31.41950347,338.9159075,44.90499319,24947696809,11496634474,44263756732,3.16986E+11,3664811384,21632710827,30525522818,2.95353E+11,11.1235644,0.55617822,1.603494604,0.08017473,3.315151486,287.073,52.54218386,24166194895,1208309745,OK,7.674682197,2.506540709,337.8163766,44.41969236,OK,1.62811211,1.472839797,F,X,X,ok,,
121,C-zcos_z1_493,2,OK,0.88806746,43.9492911,4.303485,1.2910455,-21.07,19.54255708,3.321359258,24.94625338,22.85522451,66.15726859,41.82533795,42.2447186,28.29194568,4102324861,1890472286,1.47549E+11,1.97912E+11,3256516369,3559027909,1.08491E+11,1.94353E+11,21.45690877,1.072845439,3.093076662,0.154653833,1.968575548,38.471,6.293639825,473334450.3,23666722.51,OK,7.762600661,2.53525476,43.06963081,7.223992262,F,1.599717396,1.455270219,F,X,X,X,,
122,C-zcos_z1_497,2,OK,0.959999734,34.44369871,5.6932983,1.7079896,-22.78,27.79767159,2.370029442,148.1096861,6.536826939,157.5675797,13.67830019,185.0942964,8.98959404,19816659898,9132101336,43313733558,2.51645E+11,3576767434,17127840292,29877418139,2.34517E+11,11.22004808,0.561002404,1.617403011,0.080870151,6.579959923,182.907565,9.018350776,15928779959,796438997.9,OK,14.27286097,2.589720484,189.2693639,8.065746351,OK,1.748330833,1.715913512,F,B,B,ok,,
