KID,Name,Quality,Redshift,INC,Re,Re_err,Mag_H,sigma,sigma_err,Ve,Ve_err,Vopt,Vopt_err,Vout,Vout_err,Mstar,Mstar_err,Mgas,Mgas_err,MH2,MH2_err,MHI,MHI_err,Rot_Disp_ratio_int
13,C-HiZ_z1_195,2,0.845449288912534,41.2411697189016,2.1293561,0.6388069,-21.08,30.8561909996991,3.46332607734203,49.2818815452453,23.568637431058,58.3478763259286,23.2259489038397,72.8482593336023,12.0142079598392,4140284079.28058,1907965013.49336,110210114882.988,82538626621.14305,2275868418.37233,1411933084.0191247,81153568770.3876,82526549240.05194,1.23324641521673
20,C-HiZ_z1_245,1,0.833362054003167,61.5276364390461,3.4952984,1.0485896,-21.79,45.9470647583982,2.9068384064847,129.288286145292,41.3699834097228,161.607766667672,7.98668366821015,167.487631226003,13.4725165654655,7962153419.22227,3669195124.06556,87346589942.4872,97356250607.87415,2938688239.56459,2749119246.5450497,63464587746.5583,97317428427.7563,3.46428527103205
21,C-HiZ_z1_246,2,0.842185379039587,41.9634469839735,2.615322,0.7845967,-21.12,36.3364101121145,3.43150864643676,64.6905454088608,27.9173322473166,108.340170208882,14.8265260383715,133.640603521269,13.5437202613444,4295666006.41164,1979569588.20813,88827153591.2067,82689860420.17331,1877242303.91794,1448336126.6978483,65375873148.3375,82677175440.21353,2.67663618091336
25,C-HiZ_z1_258,1,0.837600692549843,50.5938354956762,4.6041574,1.3812473,-22.11,66.7937927043019,3.78858832276298,219.454616876768,29.4190441199407,215.276483528847,21.5580865309605,222.900061278055,21.0968850948771,10691297668.4087,4926865284.98097,61930950566.5034,101693277990.04234,2633399026.91588,3662038684.3529,44584625217.735,101627320446.00179,2.55742327368989
28,C-HiZ_z1_267,2,0.839406416427833,31.0983058801545,4.431997,1.3295991,-20.42,14.2584090088685,3.37165914511861,118.790783371302,33.6775087935476,114.902765367172,9.9043852879131,131.22658926157,20.7804115194832,2254395961.09858,1038892147.9717,101935274038.743,71674649241.40588,1290853783.99917,745867961.9506059,75672496432.1385,71670768273.1384,9.08579631285808
31,C-HiZ_z1_275,2,0.850856040719295,63.7515587259345,2.456358,0.7369074,-21.83,47.5142844492949,3.72211415984623,194.237582871806,84.3815556711535,165.063899899963,18.7398429141422,159.749982765086,13.3205107342961,8260952881.6871,3806890728.88806,91184697352.8103,95550345374.67021,3253303489.23528,2867146066.7292056,66113829972.6128,95507318958.55312,2.12928869198912
32,C-HiZ_z1_277,2,0.838362986672631,36.7080244458851,4.153598,1.2460794,-22.11,21.1414761083308,3.49077777615402,136.489261932923,47.2082445233825,88.1824660167442,8.55018504373689,88.6121961774396,10.9369517101073,10691297668.4087,4926865284.98097,47221577398.4774,99952310486.44966,2010566882.59954,3604268597.1916924,33993240989.3819,99887304596.02428,2.75652464858099
34,C-HiZ_z1_285,1,0.833803935874193,71.3147182776239,1.5820578,0.4746174,-21.26,43.9101020225844,3.47297780873869,75.9791395735664,28.6215550214913,78.8782329993238,25.198197080707,83.0966980220836,9.24746786085551,4886864121.89403,2252011116.0802,89188255922.4054,86570747885.17542,2054480879.94504,1655921795.0294344,65514116573.2784,86554909233.43025,1.04101362805382
35,C-HiZ_z1_289,1,0.842692496949874,46.2917739054202,3.7175689,1.1152707,-22.17,33.1223969920806,3.13771187286337,144.447743720799,56.9045082296271,191.440911702469,11.6355767538809,202.256692966432,9.84811768583979,11298745023.8063,5206794941.84622,72276205300.3361,103090060085.53421,3234142694.07055,3915446423.813175,51911325267.8688,103015677291.08662,4.97319855157209
39,C-HiZ_z1_297,2,0.840623489072706,36.1190977595172,3.7084405,1.1125323,-22.91,75.986839429325,3.59318068583233,221.424360348485,69.3683248790894,210.135890794289,18.2857113065255,259.155951375954,22.3742034331695,22337271401.4147,10293673456.8731,59063170196.845,120543880868.37096,4400725751.93434,7857571557.414085,41099582289.4065,120287513001.25931,3.01083716230613
45,C-HiZ_z1_314,2,0.834880298504295,42.3759501838744,1.7687768,0.53063303,-22.04,117.548368682004,3.54441854508729,242.808612147183,71.2672874081271,251.582846573283,63.4508416499304,258.000256367929,14.8256612625022,10023757306.4554,4619242998.36655,118483153871.148,104508135531.19295,4772626340.72054,3557031439.3055825,85496637240.923,104447584555.82391,1.32153649518401
46,C-HiZ_z1_317,1,0.853780219124342,68.8397213445915,3.9519444,1.1855834,-22.77,122.280704819348,3.70607191089615,191.398226799618,58.2460383502361,216.789268447975,13.3768879143426,290.457617504464,14.5035936426073,19634975526.5671,9048375818.69452,73309542042.6693,115691035895.4072,5072950363.18768,6966053896.008277,51305708029.6854,115481123477.69354,1.22712737239848
47,C-HiZ_z1_319,2,0.840024327278409,73.8672125870908,7.07452,2.1223562,-22.37,17.6393139717721,2.31116772076869,146.411482581176,15.8766841808871,160.062870250927,16.8505521120565,159.906070137809,15.390276284114,13584088880.6634,6259948792.93244,41071401536.4764,104734688667.70854,2105032963.48131,4586435011.251297,29298021483.455,104634218228.11792,8.695122738075
48,C-HiZ_z1_325,2,0.837241064642836,28.064000034789,0.9275281,0.27825844,-21.14,40.1573429709933,3.4586395946074,102.617341120517,36.4427650179363,105.057479603845,31.8210539430977,115.568761315666,22.4574475747363,4375522559.44983,2016369843.06444,78769154339.5438,83180135385.76283,1674266503.90801,1465493039.017551,57966081079.4254,83167224631.74075,1.66389972494989
51,C-HiZ_z1_340,1,0.835543867100698,46.7583235970958,2.2292604,0.6687782,-22.62,68.8594525577563,2.91668573640855,185.328889281495,60.0306692637651,241.175699087571,57.9476263177174,206.95613761962,13.9399676638782,17101354746.6145,7880808638.99286,52706686311.5149,113234958545.15141,3190247253.69525,5911468595.734539,37230405306.6313,113080548175.90779,2.09961681581117
54,C-HiZ_z1_67,2,0.839779423585793,74.0586267496167,5.1623783,1.5487136,-20.62,49.5873755179356,3.54601058260544,70.0458614246833,11.2772969032951,157.307840840497,14.9333400722033,171.608577546246,16.5765134493538,2710381997.58004,1249023962.01845,103131052815.907,74942664272.9342,1511319357.29076,904291079.2678342,76405814630.5382,74937208287.80377,2.77806596056236
61,C-HiZ_z1_85,2,0.837831720632963,41.3643225029639,0.92817795,0.2784534,-20.41,93.2004530961009,3.92306520604897,195.718521860175,61.6839915084191,199.419876816228,52.5848132036845,215.311420756858,34.0021812771376,2233727063.49963,1029367310.36849,198894175136.36,74585565273.11076,2493462762.54669,768288115.4054004,147669708551.74,74581608191.8404,1.30077478130553
63,C-HiZ_z1_90,1,0.854808919275469,63.3914876376286,2.5611658,0.76834977,-20.95,43.6663362873439,3.38844882320962,106.294318817354,36.3812287628906,117.678077253672,10.1728732861796,86.9950575069844,9.61939964786774,3673080745.07809,1692663937.82401,123618618049.865,79443155681.55237,2362341498.61574,1255663372.5257924,91170132745.3002,79433231673.76651,1.80844061338926
66,C-zcos_z1_1,2,0.906427662295384,38.4491801790962,4.097195,1.2291585,-20.42,30.6533471846832,3.44537636070096,52.6116682737802,47.4850208686521,39.6020527250939,25.7752450481374,237.983936884425,147.229898479105,2254395961.09858,1038892147.9717,90592092668.1587,63551820892.13941,1288975492.03825,744232792.179951,67145200884.3011,63547463019.83747,7.03991634909708
67,C-zcos_z1_1015,1,0.88859470099343,66.9199422387446,7.291261,2.1873784,-23.18,78.9004358183717,2.57654977960584,292.53307777313,26.6427908471547,325.063044357676,36.5805861651609,310.06167569635,35.2670319347641,28643778433.9351,13199897895.8226,37307496601.8131,114891980175.7891,3603993577.33572,9931221061.507002,25340979717.6522,114461949821.5079,3.56407410280137
68,C-zcos_z1_1021,2,0.927272552624575,63.4272703969818,3.6876013,1.1062804,-21.74,39.1384996156053,3.39276051572896,106.814352827225,35.6657499539058,99.9305846523687,11.0676338339803,113.408406037181,9.64156266808863,7603789464.20346,3504050444.33339,73295594550.2745,81346256829.13873,2789892376.41201,2610415238.139732,53011806145.7613,81304361705.85616,1.94977610009301
