KID,Name,Redshift,INC,Re,Re_err,Ve,Ve_err,Vopt,Vopt_err,Vout,Vout_err,Mstar,Mstar_err,MH2,MH2_err,MHI,MHI_err,Rot_Disp_ratio_int,log(Rgas),log(Rgas_err),Rout_Flag,Mstar_flag,Wiggle_Flag,Rgas_flag,,ve,,m,,,check HI,check H2,check star
13,C-HiZ_z1_195,0.845449289,41.24116972,2.1293561,0.6388069,49.28188155,23.56863743,58.34787633,23.2259489,72.84825933,12.01420796,4.14E+09,1.91E+09,2.28E+09,3.52E+09,8.12E+10,2.06E+11,1.233246415,1.023472302,0.949853584,OK,OK,OK,ok,,1.692687281,,10.94235397,,,0,0,1
20,C-HiZ_z1_245,0.833362054,61.52763644,3.4952984,1.0485896,129.2882861,41.36998341,161.6077667,7.986683668,167.4876312,13.47251657,7.96E+09,3.67E+09,2.94E+09,6.86E+09,6.35E+10,2.43E+11,3.464285271,1.191345395,1.10558638,OK,OK,OK,ok,,2.111559178,,10.87137109,,,0,0,1
21,C-HiZ_z1_246,0.842185379,41.96344698,2.615322,0.7845967,64.69054541,27.91733225,108.3401702,14.82652604,133.6406035,13.54372026,4.30E+09,1.98E+09,1.88E+09,3.61E+09,6.54E+10,2.06E+11,2.676636181,1.562608141,1.369252,OK,OK,OK,F,,1.810840813,,10.85460224,,,0,0,1
25,C-HiZ_z1_258,0.837600693,50.5938355,4.6041574,1.3812473,219.4546169,29.41904412,215.2764835,21.55808653,222.9000613,21.09688509,1.07E+10,4.93E+09,2.63E+09,9.13E+09,4.46E+10,2.53E+11,2.557423274,1.274338085,1.145263332,OK,OK,OK,ok,,2.341344722,,10.76274848,,,0,0,1
28,C-HiZ_z1_267,0.839406416,31.09830588,4.431997,1.3295991,118.7907834,33.67750879,114.9027654,9.904385288,131.2265893,20.78041152,2.25E+09,1.04E+09,1.29E+09,1.86E+09,7.57E+10,1.79E+11,9.085796313,1.024041626,0.977367042,OK,OK,OK,ok,,2.074782746,,10.89882248,,,0,0,1
31,C-HiZ_z1_275,0.850856041,63.75155873,2.456358,0.7369074,194.2375829,84.38155567,165.0638999,18.73984291,159.7499828,13.32051073,8.26E+09,3.81E+09,3.25E+09,7.15E+09,6.61E+10,2.38E+11,2.129288692,1.026128625,0.91477741,OK,OK,OK,ok,,2.288333265,,10.89001888,,,0,0,1
32,C-HiZ_z1_277,0.838362987,36.70802445,4.153598,1.2460794,136.4892619,47.20824452,88.18246602,8.550185044,88.61219618,10.93695171,1.07E+10,4.93E+09,2.01E+09,8.99E+09,3.40E+10,2.49E+11,2.756524649,1.29274784,1.186713233,OK,OK,OK,ok,,2.135098485,,10.66927136,,,0,0,1
34,C-HiZ_z1_285,0.833803936,71.31471828,1.5820578,0.4746174,75.97913957,28.62155502,78.878233,25.19819708,83.09669802,9.247467861,4.89E+09,2.25E+09,2.05E+09,4.13E+09,6.55E+10,2.16E+11,1.041013628,1.250786832,0.989130062,OK,OK,OK,ok,,1.880694371,,10.86007113,,,0,0,1
35,C-HiZ_z1_289,0.842692497,46.29177391,3.7175689,1.1152707,144.4477437,56.90450823,191.4409117,11.63557675,202.256693,9.848117686,1.13E+10,5.21E+09,3.23E+09,9.77E+09,5.19E+10,2.57E+11,4.973198552,0.901477145,0.873616701,OK,OK,OK,ok,,2.159710763,,10.82245716,,,0,0,1
39,C-HiZ_z1_297,0.840623489,36.11909776,3.7084405,1.1125323,221.4243603,69.36832488,210.1358908,18.28571131,259.1559514,22.37420343,2.23E+10,1.03E+10,4.40E+09,1.96E+10,4.11E+10,3.00E+11,3.010837162,0.718716207,0.691474628,OK,OK,OK,ok,,2.345225399,,10.83147034,,,0,0,1
45,C-HiZ_z1_314,0.834880299,42.37595018,1.7687768,0.53063303,242.8086121,71.26728741,251.5828466,63.45084165,258.0002564,14.82566126,1.00E+10,4.62E+09,4.77E+09,8.87E+09,8.55E+10,2.61E+11,1.321536495,0.579717618,0.553096991,OK,OK,OK,ok,,2.385264087,,11.00127071,,,0,0,1
46,C-HiZ_z1_317,0.853780219,68.83972134,3.9519444,1.1855834,191.3982268,58.24603835,216.7892684,13.37688791,290.4576175,14.50359364,1.96E+10,9.05E+09,5.07E+09,1.74E+10,5.13E+10,2.88E+11,1.227127372,0.994529918,0.894241846,OK,OK,OK,ok,,2.28193791,,10.88089149,,,0,0,1
47,C-HiZ_z1_319,0.840024327,73.86721259,7.07452,2.1223562,146.4114826,15.87668418,160.0628703,16.85055211,159.9060701,15.39027628,1.36E+10,6.26E+09,2.11E+09,1.14E+10,2.93E+10,2.61E+11,8.695122738,1.384056507,1.188084821,OK,OK,OK,ok,,2.165575138,,10.65308842,,,0,0,1
51,C-HiZ_z1_340,0.835543867,46.7583236,2.2292604,0.6687782,185.3288893,60.03066926,241.1756991,57.94762632,206.9561376,13.93996766,1.71E+10,7.88E+09,3.19E+09,1.47E+10,3.72E+10,2.82E+11,2.099616816,0.729713347,0.704090921,OK,OK,OK,ok,,2.267943123,,10.75983403,,,0,0,1
54,C-HiZ_z1_67,0.839779424,74.05862675,5.1623783,1.5487136,70.04586142,11.2772969,157.3078408,14.93334007,171.6085775,16.57651345,2.71E+09,1.25E+09,1.51E+09,2.26E+09,7.64E+10,1.87E+11,2.778065961,1.625262475,1.463327729,OK,OK,OK,F,,1.845382481,,10.90648328,,,0,0,1
63,C-HiZ_z1_90,0.854808919,63.39148764,2.5611658,0.76834977,106.2943188,36.38122876,117.6780773,10.17287329,86.99505751,9.619399648,3.67E+09,1.69E+09,2.36E+09,3.13E+09,9.12E+10,1.98E+11,1.808440613,0.820366871,0.733750254,OK,OK,OK,ok,,2.026510053,,10.98769108,,,0,0,1
66,C-zcos_z1_1,0.906427662,38.44918018,4.097195,1.2291585,52.61166827,47.48502087,39.60205273,25.77524505,237.9839369,147.2298985,2.25E+09,1.04E+09,1.29E+09,1.86E+09,6.71E+10,1.59E+11,7.039916349,1.227254344,1.127957648,OK,OK,F,ok,,1.721082073,,10.84934921,,,0,0,1
67,C-zcos_z1_1015,0.888594701,66.91994224,7.291261,2.1873784,292.5330778,26.64279085,325.0630444,36.58058617,310.0616757,35.26703193,2.86E+10,1.32E+10,3.60E+09,2.48E+10,2.53E+10,2.85E+11,3.564074103,1.525565414,1.370988834,F,OK,OK,ok,,2.46617498,,10.76033767,,,0,0,1
68,C-zcos_z1_1021,0.927272553,63.4272704,3.6876013,1.1062804,106.8143528,35.66574995,99.93058465,11.06763383,113.408406,9.641562668,7.60E+09,3.50E+09,2.79E+09,6.51E+09,5.30E+10,2.03E+11,1.9497761,0.957810478,0.874840224,OK,OK,OK,ok,,2.028629614,,10.80212685,,,0,0,1
71,C-zcos_z1_15,0.92496718,53,5.2910314,3.174619,160.6168878,15.44742168,237.1793081,19.17020473,265.7941933,20.59608899,1.40E+10,6.44E+09,2.73E+09,1.19E+10,3.20E+10,2.29E+11,26.73864852,1.694069376,1.596392807,OK,OK,OK,F,,2.205791207,,10.68772967,,,0,0,1
